Exp Date,name,location,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Type,Culturability,LNA,HNA,ICC_2.5log,ICC_3.0log,ICC_3.5log,ICC_4.0log,ICC_4.5log,ratio,Shannon,Simpson,ICC,2.1 log,2.2 log,2.3 log,2.4 log,2.5 log,2.6 log,2.7 log,2.8 log,2.9 log,3.0 log,3.1 log,3.2 log,3.3 log,3.4 log,3.5 log,3.6 log,3.7 log,3.8 log,3.9 log,4.0 log,4.1 log,4.2 log,4.3 log,4.4 log,4.5 log,4.6 log,4.7 log,4.8 log,4.9 log,5.0 log,% 2.1 log,% 2.2 log,% 2.3 log,% 2.4 log,% 2.5 log,% 2.6 log,% 2.7 log,% 2.8 log,% 2.9 log,% 3.0 log,% 3.1 log,% 3.2 log,% 3.3 log,% 3.4 log,% 3.5 log,% 3.6 log,% 3.7 log,% 3.8 log,% 3.9 log,% 4.0 log,% 4.1 log,% 4.2 log,% 4.3 log,% 4.4 log,% 4.5 log,% 4.6 log,% 4.7 log,% 4.8 log,% 4.9 log,% 5.0 log
2022. 1. 17,A0114 C,C,27.6,7.77,1,0.01,0,93.5,350,1,Fail,Stag+In,1.09%,19376,12608,9176,10200,10442,1970,172,0.651,2.822469,0.933491,31984,2874,2550,1740,1110,902,1044,1752,2952,2668,1784,1506,2118,3108,2292,1418,1050,420,220,184,96,70,44,28,18,12,4,6,2,12,0,9%,8%,5%,3%,3%,3%,5%,9%,8%,6%,5%,7%,10%,7%,4%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 17,A0114 CF,C,27.4,7.76,1,0.24,0.2,6.5,0,0,Pass,Flush+In,0.00%,904,236,654,250,188,38,4,0.261,2.616963,0.903175,1140,228,180,106,82,58,64,50,38,56,42,24,34,38,58,34,18,10,6,0,4,0,2,2,0,0,0,0,0,6,0,20%,16%,9%,7%,5%,6%,4%,3%,5%,4%,2%,3%,3%,5%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
2022. 1. 17,B0117 A,A,7.4,6.86,1,0.14,0.1,10.1,0,0,Pass,Stagnant,0.00%,140,8,110,30,6,0,0,0.057,2.075316,0.851995,148,36,18,30,8,18,20,4,2,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24%,12%,20%,5%,12%,14%,3%,1%,3%,0%,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
2022. 1. 17,B0117 AF,A,6.5,6.85,1,0.15,0.2,8.7,0,0,Pass,Flushed,0.00%,290,132,166,124,130,2,0,0.455,2.494715,0.902928,422,78,52,10,16,10,16,14,20,30,44,22,48,42,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18%,12%,2%,4%,2%,4%,3%,5%,7%,10%,5%,11%,10%,3%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 17,B0117 B,B,14.7,6.74,1,0.01,0,49.7,1105,1,Fail,Stagnant,8.13%,5468,8124,2158,3310,6868,1236,18,1.486,2.763364,0.927129,13592,444,384,398,420,512,484,534,640,700,952,1300,1596,1526,1352,1094,718,264,166,64,24,8,2,2,6,0,2,0,0,0,0,3%,3%,3%,3%,4%,4%,4%,5%,5%,7%,10%,12%,11%,10%,8%,5%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 17,B0117 BF,B,8.7,6.91,1,0.13,0.1,10.2,0,0,Pass,Flushed,0.00%,1204,608,612,592,564,44,0,0.505,2.718848,0.928981,1812,232,122,86,90,82,98,96,110,152,136,126,158,132,98,50,30,12,0,2,0,0,0,0,0,0,0,0,0,0,0,13%,7%,5%,5%,5%,5%,5%,6%,8%,8%,7%,9%,7%,5%,3%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 17,B0117 C,C,16.6,6.78,1,0,0,12.7,0,0,Pass,Stagnant,0.00%,1726,876,1018,708,838,36,2,0.508,2.627633,0.917827,2602,366,214,176,130,132,128,124,122,130,204,300,308,114,100,16,14,10,10,2,0,0,2,0,0,0,0,0,0,0,0,14%,8%,7%,5%,5%,5%,5%,5%,5%,8%,12%,12%,4%,4%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 17,B0117 CF,C,9.5,6.54,1,0.22,0.2,17.2,0,0,Pass,Flushed,0.00%,354,42,290,64,34,6,0,0.119,2.046314,0.770694,396,172,66,28,16,8,16,18,8,6,16,10,8,6,8,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,43%,17%,7%,4%,2%,4%,5%,2%,2%,4%,3%,2%,2%,2%,1%,1%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%
2022. 1. 21,A0117 A,A,24.4,7.22,1,0.14,0.1,14.5,0,0,Pass,Stag+In,0.00%,2682,5006,1168,1514,4520,486,0,1.867,2.598069,0.908635,7688,386,270,180,160,172,188,188,244,402,492,704,1040,1306,914,556,352,110,18,6,0,0,0,0,0,0,0,0,0,0,0,5%,4%,2%,2%,2%,2%,2%,3%,5%,6%,9%,14%,17%,12%,7%,5%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,A0117 AF,A,24.2,7.19,1,0.15,0.2,22.6,0,0,Pass,Flush+In,0.00%,3966,3014,1126,2840,2754,242,12,0.76,2.7245,0.927092,6980,212,140,162,210,402,574,454,572,586,654,542,538,628,722,324,140,64,22,8,8,2,4,2,4,0,0,2,0,4,0,3%,2%,2%,3%,6%,8%,7%,8%,8%,9%,8%,8%,9%,10%,5%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,A0117 B,B,24.7,7.25,1,0.01,0,45.1,1255,1,Fail,Stag+In,3.04%,30676,10670,14164,16512,9534,1078,54,0.348,2.762068,0.932098,41346,2168,2300,2808,3424,3464,3652,3448,3290,3182,2940,2462,2268,2064,1590,1150,512,306,144,68,48,26,18,4,4,2,2,0,0,2,0,5%,6%,7%,8%,8%,9%,8%,8%,8%,7%,6%,5%,5%,4%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,A0117 BF,B,25.4,7.48,1,0.13,0.1,16,18,0,Pass,Flush+In,0.06%,20966,8668,11080,9886,7440,1158,68,0.413,2.805164,0.934635,29634,1688,2074,2226,2570,2522,2568,2326,1946,1626,1420,1580,1802,1732,1332,994,534,252,174,114,84,32,20,12,0,4,0,2,0,0,0,6%,7%,8%,9%,9%,9%,8%,7%,5%,5%,5%,6%,6%,4%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,A0117 C,C,24.6,7.57,1,0,0,37,440,1,Fail,Stag+In,1.14%,24314,14250,11394,12920,11524,2388,312,0.586,2.888273,0.939774,38564,1400,1998,2258,2704,3034,2884,2722,2600,2478,2236,2340,2446,2578,2206,1954,1018,542,426,238,164,114,70,68,28,32,4,8,4,10,0,4%,5%,6%,7%,8%,7%,7%,7%,6%,6%,6%,6%,7%,6%,5%,3%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,A0117 CF,C,23.6,7.68,1,0.22,0.2,19.4,0,0,Pass,Flush+In,0.00%,10096,5130,4976,5120,4300,750,76,0.508,2.840665,0.936567,15226,614,742,976,1352,1292,1172,1114,1008,1018,808,944,894,996,962,504,318,194,112,76,50,28,12,18,6,12,0,4,0,0,0,4%,5%,6%,9%,8%,8%,7%,7%,7%,5%,6%,6%,7%,6%,3%,2%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,B0121 B,B,14.7,7,1,0.01,0,9.6,25,0,Pass,Stagnant,0.74%,2872,520,1954,918,496,24,0,0.181,2.556427,0.911736,3392,398,390,396,424,346,320,180,150,148,120,130,116,142,82,26,16,6,0,0,2,0,0,0,0,0,0,0,0,0,0,12%,11%,12%,13%,10%,9%,5%,4%,4%,4%,4%,3%,4%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2022. 1. 21,B0121 BF,B,6.7,6.92,1,0.15,0.2,5.4,0,0,Pass,Flushed,0.00%,596,34,494,102,34,0,0,0.057,2.164566,0.852288,630,160,120,84,86,44,30,20,30,8,14,14,6,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25%,19%,13%,14%,7%,5%,3%,5%,1%,2%,2%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
