Exp Date,location,Type,Temp,pH,Month,Free_Cl,Cl_Class,ATP,CFU,HPC_fail,Criteria,Culturability,LNA,HNA,ratio,ICC
2022. 4. 1,B,Stag+In,30.4,7.85,4,0.01,0,51.7,1292,1,Fail,5.35%,9512,14634,1.538,24146
2022. 4. 1,B,Flush+In,31,7.87,4,0.16,0.2,24.2,0,0,Pass,0.00%,1560,298,0.191,1858
2022. 4. 1,C,Stag+In,30,7.79,4,0.2,0.2,16.5,0,0,Pass,0.00%,1868,632,0.338,2500
2022. 4. 1,C,Flush+In,29.9,7.82,4,0.27,0.3,12.5,0,0,Pass,0.00%,460,30,0.065,490
2022. 4. 4,B,Stagnant,19.7,7.21,4,0.02,0,11.6,40,0,Pass,1.13%,3408,134,0.039,3542
2022. 4. 4,B,Flushed,12.8,7.07,4,0.19,0.2,12.4,0,0,Pass,0.00%,1068,100,0.094,1168
2022. 4. 4,C,Stagnant,23,7.15,4,0.03,0,11.1,0,0,Pass,0.00%,1828,444,0.243,2272
2022. 4. 4,C,Flushed,14,7.19,4,0.27,0.3,26,0,0,Pass,0.00%,316,8,0.025,324
2022. 4. 4,B,Stag+In,29.1,7.86,4,0.02,0,40,115,1,Fail,0.49%,18110,5176,0.286,23286
2022. 4. 4,B,Flush+In,29.8,7.86,4,0.19,0.2,39.6,0,0,Pass,0.00%,2492,7424,2.979,9916
2022. 4. 4,C,Stag+In,30.2,7.75,4,0.03,0,46.9,0,0,Pass,0.00%,5954,14482,2.432,20436
2022. 4. 4,C,Flush+In,29.9,7.75,4,0.27,0.3,10.5,0,0,Pass,0.00%,1490,208,0.14,1698
2022. 4. 8,B,Stagnant,20.4,7.28,4,0.01,0,32.2,335,1,Fail,1.18%,17718,10640,0.601,28358
2022. 4. 8,B,Flushed,12.9,7.44,4,0.18,0.2,11.6,10,0,Pass,0.33%,2646,372,0.141,3018
2022. 4. 8,C,Stagnant,23.5,7.35,4,0.02,0,21.1,0,0,Pass,0.00%,3078,1044,0.339,4122
2022. 4. 8,C,Flushed,13.2,7.3,4,0.28,0.3,23.9,0,0,Pass,0.00%,2360,120,0.051,2480
2022. 4. 8,B,Stag+In,30.1,7.76,4,0.01,0,57.4,210,1,Fail,0.61%,24230,10012,0.413,34242
2022. 4. 8,B,Flush+In,30.3,7.82,4,0.18,0.2,27.6,0,0,Pass,0.00%,1888,3540,1.875,5428
2022. 4. 8,C,Stag+In,29.4,7.72,4,0.02,0,79.3,0,0,Pass,0.00%,5898,22742,3.856,28640
2022. 4. 8,C,Flush+In,30.3,7.74,4,0.28,0.3,31.9,0,0,Pass,0.00%,1270,472,0.372,1742
2022. 4. 12,A,Stagnant,18.2,7.55,4,0.08,0.1,28.3,0,0,Pass,0.00%,2492,366,0.147,2858
2022. 4. 12,A,Flushed,16.8,7.37,4,0.16,0.2,25,0,0,Pass,0.00%,2474,124,0.05,2598
2022. 4. 12,B,Stagnant,21.4,7.15,4,0.01,0,11.4,12,0,Pass,0.24%,3438,1486,0.432,4924
2022. 4. 12,B,Flushed,15.8,7.14,4,0.15,0.2,17.7,0,0,Pass,0.00%,3098,592,0.191,3690
2022. 4. 12,C,Stagnant,24.7,7.05,4,0,0,22.8,0,0,Pass,0.00%,3362,2214,0.659,5576
2022. 4. 12,C,Flushed,19.5,7.01,4,0.26,0.3,23.8,0,0,Pass,0.00%,2268,110,0.049,2378
2022. 4. 15,A,Stag+In,29.9,,4,0.08,0.1,53.9,0,0,Pass,0.00%,1290,624,0.484,1914
2022. 4. 15,A,Flush+In,30.1,,4,0.16,0.2,48.6,0,0,Pass,0.00%,518,120,0.232,638
2022. 4. 15,B,Stag+In,30.1,,4,0.01,0,134.5,1392,1,Fail,7.85%,15988,1736,0.109,17724
2022. 4. 15,B,Flush+In,30,,4,0.15,0.2,84.5,0,0,Pass,0.00%,1450,3246,2.239,4696
2022. 4. 15,C,Stag+In,29.8,,4,0,0,96.2,795,1,Fail,3.01%,22118,4308,0.195,26426
2022. 4. 15,C,Flush+In,30,,4,0.26,0.3,31.5,0,0,Pass,0.00%,436,42,0.096,478
2022. 4. 15,B,Stagnant,20.6,6.99,4,0.01,0,81.2,50,0,Pass,0.27%,16504,1730,0.105,18234
2022. 4. 15,B,Flushed,19.1,7.12,4,0.01,0,29.4,0,0,Pass,0.00%,742,54,0.073,796
2022. 4. 15,C,Stagnant,24,7.1,4,0.01,0,110.5,0,0,Pass,0.00%,2002,212,0.106,2214
2022. 4. 15,C,Flushed,16.1,7.1,4,0.25,0.3,26.6,0,0,Pass,0.00%,550,14,0.025,564
2022. 4. 19,B,Stag+In,30.1,,4,0.01,0,138.4,1795,1,Fail,6.36%,27920,282,0.01,28202
2022. 4. 19,B,Flush+In,30.1,,4,0.01,0,226.1,9883,1,Fail,45.08%,21690,232,0.011,21922
2022. 4. 19,C,Stag+In,30,,4,0.01,0,64.9,2370,1,Fail,23.25%,9930,264,0.027,10194
2022. 4. 19,C,Flush+In,29.8,,4,0.25,0.3,23.3,0,0,Pass,0.00%,178,4,0.022,182
2022. 4. 19,B,Stagnant,21.1,7.04,4,0.01,0,23.9,0,0,Pass,0.00%,2274,4,0.002,2278
2022. 4. 19,B,Flushed,16.5,7.02,4,0.14,0.1,31.2,0,0,Pass,0.00%,454,6,0.013,460
2022. 4. 19,C,Stagnant,24.1,7,4,0.01,0,23.3,0,0,Pass,0.00%,1442,6,0.004,1448
2022. 4. 19,C,Flushed,16.3,6.99,4,0.29,0.3,39.2,0,0,Pass,0.00%,464,8,0.017,472
2022. 4. 22,B,Stag+In,,,4,0.01,0,202.3,1347.5,1,Fail,3.81%,23742,11630,0.49,35372
2022. 4. 22,B,Flush+In,,,4,0.14,0.1,83.6,0,0,Pass,0.00%,1046,172,0.164,1218
2022. 4. 22,C,Stag+In,,,4,0.01,0,46.7,472.5,1,Fail,2.31%,12876,7602,0.59,20478
2022. 4. 22,C,Flush+In,,,4,0.29,0.3,12.8,0,0,Pass,0.00%,524,20,0.038,544
2022. 4. 22,B,Stagnant,,,4,0.01,0,56.2,207.5,1,Fail,0.84%,21192,3530,0.167,24722
2022. 4. 22,B,Flushed,,,4,0.17,0.2,20.3,0,0,Pass,0.00%,1104,46,0.042,1150
